id,digipin,aip_id,suffix,full_address,latitude,longitude,owner_name,owner_phone,address_type,confidence_score,is_verified,created_at,updated_at
35689,39J-49C-673K,AIP_HOME_001,@home,"112, 110006",28.651067,77.2281349,ShyamSweets,,shop,50.0,True,2025-12-29 14:34:17.036449,2025-12-29 14:34:17.036449
35690,39J-595-8KM8,AIP_POST_001,@post,"28.6371575,77.3759993",28.6371575,77.3759993,CentralMarket,,shop,50.0,True,2025-12-29 14:34:17.037027,2025-12-29 14:34:17.037027
35691,39J-L36-KTKF,AIP_OFFICE_001,@office,"28.4565561,77.0631848",28.4565561,77.0631848,PrithviGeneralStore,,shop,50.0,True,2025-12-29 14:34:17.037603,2025-12-29 14:34:17.037603
35692,39J-3PP-TL93,AIP_GOV_001,@gov,"710, S1, Delhi, 110006",28.6567331,77.2354195,SolarPanels,,shop,50.0,True,2025-12-29 14:34:17.038149,2025-12-29 14:34:17.038149
35693,39J-3PP-T4PF,AIP_HOSPITAL_001,@hospital,"614, Delhi, 110006",28.656915,77.2359416,"MehtaBrothers(ICs,MCs)",,shop,50.0,True,2025-12-29 14:34:17.038798,2025-12-29 14:34:17.038798
35694,39J-3PP-T43T,AIP_HOME_001,@home,"463, Delhi, 110006",28.6570993,77.2359053,"MehtaElectronics(ICs,MCs)",,shop,50.0,True,2025-12-29 14:34:17.039353,2025-12-29 14:34:17.039353
35695,39J-3PP-TM9F,AIP_GOV_001,@gov,"576, S1, Delhi, 110006",28.6567874,77.2359371,Antennas,,shop,50.0,True,2025-12-29 14:34:17.040193,2025-12-29 14:34:17.040193
35696,39J-PK3-569J,AIP_GOV_001,@gov,"28.43099,77.296376",28.43099,77.296376,21CMarket,,shop,50.0,True,2025-12-29 14:34:17.041151,2025-12-29 14:34:17.041151
35697,39J-MF9-5T6P,AIP_HOME_001,@home,"28.5091912,77.1647429",28.5091912,77.1647429,Dolls,,shop,50.0,True,2025-12-29 14:34:17.042525,2025-12-29 14:34:17.042525
35698,39J-MF9-5T6J,AIP_OFFICE_001,@office,"28.509265,77.1646775",28.509265,77.1646775,AnandSupermart,,shop,50.0,True,2025-12-29 14:34:17.043412,2025-12-29 14:34:17.043412
35699,39J-4T7-75M4,AIP_HOME_001,@home,"28.5381851,77.2803297",28.5381851,77.2803297,CarabinAdventures,,shop,50.0,True,2025-12-29 14:34:17.044214,2025-12-29 14:34:17.044214
35700,39J-4TF-F8KP,AIP_HOSPITAL_001,@hospital,"28.5503785,77.2478224",28.5503785,77.2478224,In&Out,,shop,50.0,True,2025-12-29 14:34:17.044816,2025-12-29 14:34:17.044816
35701,39J-494-JK7L,AIP_OFFICE_001,@office,"28.6351018,77.2201443",28.6351018,77.2201443,NewProminentTailor,,shop,50.0,True,2025-12-29 14:34:17.045431,2025-12-29 14:34:17.045431
35702,39J-494-JL95,AIP_GOV_001,@gov,"28.6347575,77.2200923",28.6347575,77.2200923,Frameszon,,shop,50.0,True,2025-12-29 14:34:17.045945,2025-12-29 14:34:17.045945
35703,39J-597-LF9L,AIP_HOSPITAL_001,@hospital,"28.6407472,77.3782362",28.6407472,77.3782362,JaipuriaMall,,shop,50.0,True,2025-12-29 14:34:17.046473,2025-12-29 14:34:17.046473
35704,39J-597-KJLT,AIP_POST_001,@post,"28.6419902,77.3780646",28.6419902,77.3780646,ManojVihar,,shop,50.0,True,2025-12-29 14:34:17.047001,2025-12-29 14:34:17.047001
35705,39J-4CK-KTJC,AIP_OFFICE_001,@office,"28.6324664,77.1774672",28.6324664,77.1774672,BigApple,,shop,50.0,True,2025-12-29 14:34:17.047623,2025-12-29 14:34:17.047623
35706,39J-594-FJJ5,AIP_POST_001,@post,"28.6378879,77.360427",28.6378879,77.360427,SmartBazaar,,shop,50.0,True,2025-12-29 14:34:17.048180,2025-12-29 14:34:17.048180
35707,39J-5JF-2M79,AIP_POST_001,@post,"28.6170865,77.2866746",28.6170865,77.2866746,AmarMotorParts,,shop,50.0,True,2025-12-29 14:34:17.048610,2025-12-29 14:34:17.048610
35708,39J-5JF-2MK5,AIP_POST_001,@post,"28.6169036,77.2862651",28.6169036,77.2862651,CanonOptician,,shop,50.0,True,2025-12-29 14:34:17.049398,2025-12-29 14:34:17.049398
35709,39J-5JF-256L,AIP_HOME_001,@home,"28.6173922,77.2871589",28.6173922,77.2871589,AutoNeeds,,shop,50.0,True,2025-12-29 14:34:17.050154,2025-12-29 14:34:17.050154
35710,39J-5JF-2M22,AIP_OFFICE_001,@office,"28.6170543,77.2865691",28.6170543,77.2865691,ManoharMotorParts,,shop,50.0,True,2025-12-29 14:34:17.050995,2025-12-29 14:34:17.050995
35711,39J-5JF-588J,AIP_GOV_001,@gov,"28.6166351,77.2877305",28.6166351,77.2877305,GuruKripaTyres,,shop,50.0,True,2025-12-29 14:34:17.052145,2025-12-29 14:34:17.052145
35712,39J-5CJ-4TM4,AIP_HOSPITAL_001,@hospital,"28.6409214,77.3204293",28.6409214,77.3204293,BrijwasiGeneralStore,,shop,50.0,True,2025-12-29 14:34:17.053054,2025-12-29 14:34:17.053054
35713,39J-5CJ-4TPP,AIP_HOSPITAL_001,@hospital,"28.6408696,77.3206224",28.6408696,77.3206224,PopyCakeShop,,shop,50.0,True,2025-12-29 14:34:17.053552,2025-12-29 14:34:17.053552
35714,39J-5CJ-4CKP,AIP_OFFICE_001,@office,"28.6426869,77.3192277",28.6426869,77.3192277,MotherDairybooth,,shop,50.0,True,2025-12-29 14:34:17.053901,2025-12-29 14:34:17.053901
35715,39J-5JT-PM8T,AIP_GOV_001,@gov,"28.586358,77.313104",28.586358,77.313104,Konceptautomahindra,,shop,50.0,True,2025-12-29 14:34:17.054522,2025-12-29 14:34:17.054522
35716,39J-5JT-TJ9F,AIP_HOSPITAL_001,@hospital,"28.587574,77.314504",28.587574,77.314504,Southcityford,,shop,50.0,True,2025-12-29 14:34:17.055252,2025-12-29 14:34:17.055252
35717,39J-53L-C5LK,AIP_POST_001,@post,"28.593114,77.319736",28.593114,77.319736,Dicoraircon,,shop,50.0,True,2025-12-29 14:34:17.055768,2025-12-29 14:34:17.055768
35718,39J-L24-88CL,AIP_HOSPITAL_001,@hospital,"28.4627711,77.0875123",28.4627711,77.0875123,Needs,,shop,50.0,True,2025-12-29 14:34:17.056636,2025-12-29 14:34:17.056636
35719,39J-L24-878C,AIP_OFFICE_001,@office,"28.4623089,77.0877893",28.4623089,77.0877893,SonyCentre,,shop,50.0,True,2025-12-29 14:34:17.057198,2025-12-29 14:34:17.057198
35720,39J-K89-KL97,AIP_POST_001,@post,"28.6501699,77.1234549",28.6501699,77.1234549,CitySquareMall,,shop,50.0,True,2025-12-29 14:34:17.057776,2025-12-29 14:34:17.057776
35721,39J-K8C-6JL9,AIP_OFFICE_001,@office,"28.650891,77.1209433",28.650891,77.1209433,ShoppersStop,,shop,50.0,True,2025-12-29 14:34:17.058337,2025-12-29 14:34:17.058337
35722,39J-L9M-LPKC,AIP_POST_001,@post,"28.4807272,77.0802453",28.4807272,77.0802453,MGFMetropolitan,,shop,50.0,True,2025-12-29 14:34:17.058781,2025-12-29 14:34:17.058781
35723,39J-L2F-3596,AIP_GOV_001,@gov,"28.477073,77.0740013",28.477073,77.0740013,EsselTowersShoppingComplex,,shop,50.0,True,2025-12-29 14:34:17.059219,2025-12-29 14:34:17.059219
35724,39J-L9M-K493,AIP_OFFICE_001,@office,"28.4837128,77.0799837",28.4837128,77.0799837,PureVeg/MotherDairy,,shop,50.0,True,2025-12-29 14:34:17.059545,2025-12-29 14:34:17.059545
35725,39J-3TT-2T24,AIP_HOME_001,@home,"28.6609627,77.278842",28.6609627,77.278842,ChhachhiBuilding,,shop,50.0,True,2025-12-29 14:34:17.059862,2025-12-29 14:34:17.059862
35726,39J-K96-9C92,AIP_HOSPITAL_001,@hospital,"WZ 1 to 12, Uggar Sain Market, Najafgarh Road (Next to the Tilak Nagar Police Station)",28.6386267,77.1019845,MehrasonsJewellers,,shop,50.0,True,2025-12-29 14:34:17.060170,2025-12-29 14:34:17.060170
35727,39J-4CC-TF22,AIP_GOV_001,@gov,"P-110/1, Ajmal Khan Road",28.6494696,77.1915396,MehrasonsJewellers,,shop,50.0,True,2025-12-29 14:34:17.060472,2025-12-29 14:34:17.060472
35728,39J-49M-JFF8,AIP_HOSPITAL_001,@hospital,"2, Janpath",28.6276711,77.2198524,MehrasonsJewellers,,shop,50.0,True,2025-12-29 14:34:17.060768,2025-12-29 14:34:17.060768
35729,39J-4M4-M496,AIP_HOSPITAL_001,@hospital,"28.5254199,77.1877269",28.5254199,77.1877269,QutubMinarTickets,,shop,50.0,True,2025-12-29 14:34:17.061059,2025-12-29 14:34:17.061059
35730,39J-55J-8K76,AIP_HOME_001,@home,"345, Golf course, 201301",28.5758201,77.3586707,Hundai,,shop,50.0,True,2025-12-29 14:34:17.061346,2025-12-29 14:34:17.061346
35731,39J-K88-JCK3,AIP_GOV_001,@gov,"H33, Bali Nagar, New Delhi, 110015",28.6537296,77.132445,MWENTERPRIISES,,shop,50.0,True,2025-12-29 14:34:17.061637,2025-12-29 14:34:17.061637
35732,39J-K88-JCJM,AIP_HOME_001,@home,"H33, Bali Nagar, New Delhi, 110015",28.6537988,77.1324402,MWINTERNATIONAL,,shop,50.0,True,2025-12-29 14:34:17.061922,2025-12-29 14:34:17.061922
35733,39J-L3M-9633,AIP_OFFICE_001,@office,"28.4528158,77.050185",28.4528158,77.050185,RelianceFresh,,shop,50.0,True,2025-12-29 14:34:17.062212,2025-12-29 14:34:17.062212
35734,39J-L3M-97TK,AIP_HOME_001,@home,"28.4530375,77.0504183",28.4530375,77.0504183,GargStore,,shop,50.0,True,2025-12-29 14:34:17.062501,2025-12-29 14:34:17.062501
35735,39J-L3M-8955,AIP_POST_001,@post,"28.4537284,77.0519901",28.4537284,77.0519901,MotherDairy,,shop,50.0,True,2025-12-29 14:34:17.063006,2025-12-29 14:34:17.063006
35736,39J-L3M-8FTF,AIP_HOSPITAL_001,@hospital,"28.4536765,77.0509521",28.4536765,77.0509521,Levi's,,shop,50.0,True,2025-12-29 14:34:17.063501,2025-12-29 14:34:17.063501
35737,39J-5C2-J2FJ,AIP_HOSPITAL_001,@hospital,"28.6446464,77.3350878",28.6446464,77.3350878,BigBazaar,,shop,50.0,True,2025-12-29 14:34:17.064037,2025-12-29 14:34:17.064037
35738,39J-L29-F9PF,AIP_GOV_001,@gov,"Mehrauli Gurgaon Road, DELHI",28.4800297,77.0892889,Spencer's,,shop,50.0,True,2025-12-29 14:34:17.064653,2025-12-29 14:34:17.064653
35739,39J-LCT-9CFF,AIP_HOME_001,@home,"28.4892348,77.0664809",28.4892348,77.0664809,HondaMotors,,shop,50.0,True,2025-12-29 14:34:17.065268,2025-12-29 14:34:17.065268
35740,39J-L4L-6KTL,AIP_GOV_001,@gov,"649, 649-6th Floor, Tower A Spaze iTechPark, Gurgaon, 122018",28.4129054,77.0421678,ShoppersStop,,shop,50.0,True,2025-12-29 14:34:17.066038,2025-12-29 14:34:17.066038
35741,39J-3KM-3P34,AIP_POST_001,@post,"28.6961415,77.152883",28.6961415,77.152883,BigBazaar,,shop,50.0,True,2025-12-29 14:34:17.066731,2025-12-29 14:34:17.066731
35742,39J-L56-5M4C,AIP_HOSPITAL_001,@hospital,"Sushant Lok 2, 122011",28.4213943,77.1018287,SushantTower,,shop,50.0,True,2025-12-29 14:34:17.067902,2025-12-29 14:34:17.067902
35743,39J-2ML-8JFM,AIP_HOME_001,@home,"28.6643685,77.3230451",28.6643685,77.3230451,NarangPatryShop,,shop,50.0,True,2025-12-29 14:34:17.068941,2025-12-29 14:34:17.068941
35744,39J-5LC-T4M4,AIP_GOV_001,@gov,"28.5426087,77.2973722",28.5426087,77.2973722,Grocery,,shop,50.0,True,2025-12-29 14:34:17.069516,2025-12-29 14:34:17.069516
35745,39J-L6J-97J7,AIP_POST_001,@post,"28.435776,77.1116241",28.435776,77.1116241,SunCityMarket,,shop,50.0,True,2025-12-29 14:34:17.070211,2025-12-29 14:34:17.070211
35746,3C7-679-MP4P,AIP_HOME_001,@home,"28.6124471,76.9859284",28.6124471,76.9859284,SatishBookDepot,,shop,50.0,True,2025-12-29 14:34:17.070777,2025-12-29 14:34:17.070777
35747,3C7-679-M5K3,AIP_OFFICE_001,@office,"28.613071,76.9857832",28.613071,76.9857832,JitinderBookDepot,,shop,50.0,True,2025-12-29 14:34:17.071323,2025-12-29 14:34:17.071323
35748,3C7-679-TP34,AIP_HOME_001,@home,"28.6126394,76.9902885",28.6126394,76.9902885,VishalMegaMart,,shop,50.0,True,2025-12-29 14:34:17.071839,2025-12-29 14:34:17.071839
35749,3C7-679-MTC3,AIP_HOME_001,@home,"28.6128108,76.9864563",28.6128108,76.9864563,TyagiSelection,,shop,50.0,True,2025-12-29 14:34:17.072224,2025-12-29 14:34:17.072224
35750,3C7-672-33J2,AIP_HOME_001,@home,"28.6093803,76.9852685",28.6093803,76.9852685,SubhashBookDepot,,shop,50.0,True,2025-12-29 14:34:17.072558,2025-12-29 14:34:17.072558
35751,3C7-679-MKMK,AIP_POST_001,@post,"28.6129029,76.9847589",28.6129029,76.9847589,Archies,,shop,50.0,True,2025-12-29 14:34:17.072887,2025-12-29 14:34:17.072887
35752,39J-46J-LPKK,AIP_OFFICE_001,@office,"28.5685478,77.2472168",28.5685478,77.2472168,Part1CustomizedDesignerMen'sWear,,shop,50.0,True,2025-12-29 14:34:17.073221,2025-12-29 14:34:17.073221
35753,39J-456-85FM,AIP_HOME_001,@home,"28.5671547,77.2450583",28.5671547,77.2450583,TheCottonLawnShop,,shop,50.0,True,2025-12-29 14:34:17.073523,2025-12-29 14:34:17.073523
35754,39J-46K-JF8L,AIP_OFFICE_001,@office,"28.5660338,77.246519",28.5660338,77.246519,BeautyUnisexSalon,,shop,50.0,True,2025-12-29 14:34:17.073885,2025-12-29 14:34:17.073885
35755,39J-L37-JCLJ,AIP_HOSPITAL_001,@hospital,"28.4690355,77.0620751",28.4690355,77.0620751,Adidas,,shop,50.0,True,2025-12-29 14:34:17.074455,2025-12-29 14:34:17.074455
35756,39J-L37-JC8L,AIP_OFFICE_001,@office,"28.4693625,77.0625003",28.4693625,77.0625003,Reliancemart,,shop,50.0,True,2025-12-29 14:34:17.074993,2025-12-29 14:34:17.074993
35757,39J-5L9-M3PC,AIP_POST_001,@post,"28.5432177,77.3018901",28.5432177,77.3018901,"Reebok,Nike",,shop,50.0,True,2025-12-29 14:34:17.075510,2025-12-29 14:34:17.075510
35758,39J-2P7-K4J5,AIP_HOSPITAL_001,@hospital,"GT Road, 201007",28.6769142,77.3785583,Spencers,,shop,50.0,True,2025-12-29 14:34:17.075958,2025-12-29 14:34:17.075958
35759,39J-597-529F,AIP_GOV_001,@gov,"28.6425151,77.3837131",28.6425151,77.3837131,NihoMall,,shop,50.0,True,2025-12-29 14:34:17.076326,2025-12-29 14:34:17.076326
35760,39J-4M7-5P2C,AIP_HOSPITAL_001,@hospital,"28.5357806,77.2079787",28.5357806,77.2079787,SevaStore,,shop,50.0,True,2025-12-29 14:34:17.076772,2025-12-29 14:34:17.076772
35761,39J-J74-4LMC,AIP_HOSPITAL_001,@hospital,"241, G-7 Sector-16, Rohini,Delhi",28.7376563,77.1166344,ElectronicGallery,,shop,50.0,True,2025-12-29 14:34:17.077400,2025-12-29 14:34:17.077400
35762,39J-49T-237J,AIP_OFFICE_001,@office,"Wing 2, Bahadur shah Zafar Marg, 110002",28.6269389,77.242672,LiquorShop,,shop,50.0,True,2025-12-29 14:34:17.078101,2025-12-29 14:34:17.078101
35763,39J-5CJ-C6FJ,AIP_GOV_001,@gov,"28.6463058,77.3202551",28.6463058,77.3202551,PacificMall,,shop,50.0,True,2025-12-29 14:34:17.078980,2025-12-29 14:34:17.078980
35764,39J-5C8-JJ9J,AIP_POST_001,@post,"28.6534402,77.3430754",28.6534402,77.3430754,@Homeshop,,shop,50.0,True,2025-12-29 14:34:17.079785,2025-12-29 14:34:17.079785
35765,39J-5C9-77MF,AIP_GOV_001,@gov,"28.6530871,77.3423887",28.6530871,77.3423887,CheveroletAutomobile,,shop,50.0,True,2025-12-29 14:34:17.080522,2025-12-29 14:34:17.080522
35766,39J-5C9-77JL,AIP_GOV_001,@gov,"28.6532378,77.3422278",28.6532378,77.3422278,CheveroletAutomobile,,shop,50.0,True,2025-12-29 14:34:17.081106,2025-12-29 14:34:17.081106
35767,39J-5C9-758C,AIP_HOME_001,@home,"28.6529271,77.3421527",28.6529271,77.3421527,HeroMotorcorp,,shop,50.0,True,2025-12-29 14:34:17.082138,2025-12-29 14:34:17.082138
35768,39J-52M-TM84,AIP_HOME_001,@home,"28.5864159,77.3679633",28.5864159,77.3679633,StoreNextdoor,,shop,50.0,True,2025-12-29 14:34:17.082957,2025-12-29 14:34:17.082957
35769,39J-55C-LCL3,AIP_HOME_001,@home,"28.5788671,77.3609493",28.5788671,77.3609493,MuttonChickenShop,,shop,50.0,True,2025-12-29 14:34:17.083570,2025-12-29 14:34:17.083570
